date,close
2016-09-01,9550
2016-09-05,10150
2016-09-06,10830
2016-09-07,11590
2016-09-08,12350
2016-09-09,13180
2016-09-12,14090
2016-09-13,15080
2016-09-14,16100
2016-09-15,17200
2016-09-16,18370
2016-09-19,19620
2016-09-20,19620
2016-09-21,19620
2016-09-22,18640
2016-09-23,18940
2016-09-26,19770
2016-09-27,21140
2016-09-28,22610
2016-09-29,24170
2016-09-30,25830
2016-10-03,27610
2016-10-04,29540
2016-10-05,31590
2016-10-06,33790
2016-10-07,33670
2016-10-10,34240
2016-10-11,36630
2016-10-12,39170
2016-10-13,37950
2016-10-14,40600
2016-10-17,43410
2016-10-18,42040
2016-10-19,44920
2016-10-20,48030
2016-10-21,51360
2016-10-24,51130
2016-10-25,54700
2016-10-26,56060
2016-10-27,59920
2016-10-28,64090
2016-10-31,65380
2016-11-01,64390
2016-11-02,68860
2016-11-03,71360
2016-11-04,68180
2016-11-07,72880
2016-11-08,75830
2016-11-09,71970
2016-11-10,76970
2016-11-11,82350
2016-11-14,88030
2016-11-15,90910
2016-11-16,85600
2016-11-17,91590
2016-11-18,93940
2016-11-21,89390
2016-11-22,94850
2016-11-23,95750
2016-11-24,89390
2016-11-25,95450
2016-11-28,96210
2016-11-29,89770
2016-11-30,94690
2016-12-01,91660
2016-12-02,94010
2016-12-05,90000
2016-12-06,84160
2016-12-07,88560
2016-12-08,84240
2016-12-09,84240
2016-12-12,81820
2016-12-13,76360
2016-12-14,78180
2016-12-15,78790
2016-12-16,79620
2016-12-19,80760
2016-12-20,81440
2016-12-21,82270
2016-12-22,82880
2016-12-23,83480
2016-12-26,84010
2016-12-27,84690
2016-12-28,85380
2016-12-29,86060
2016-12-30,86890
2017-01-03,87720
2017-01-04,88250
2017-01-05,88940
2017-01-06,89620
2017-01-09,89620
2017-01-10,90150
2017-01-11,90910
2017-01-12,91510
2017-01-13,92270
2017-01-16,92950
2017-01-17,93710
2017-01-18,94390
2017-01-19,95070
2017-01-20,95830
2017-01-23,96590
2017-01-24,97270
2017-01-25,98100
2017-02-02,98780
2017-02-03,99620
2017-02-06,100300
2017-02-07,101060
2017-02-08,101740
2017-02-09,102570
2017-02-10,103330
2017-02-13,104010
2017-02-14,104920
2017-02-15,105600
2017-02-16,106360
2017-02-17,107190
2017-02-20,107950
2017-02-21,108710
2017-02-22,109540
2017-02-23,110300
2017-02-24,111130
2017-02-27,111970
2017-02-28,112800
2017-03-01,113710
2017-03-02,114690
2017-03-03,115680
2017-03-06,123710
2017-03-07,127270
2017-03-08,126510
2017-03-09,128030
2017-03-10,129690
2017-03-13,131280
2017-03-14,132950
2017-03-15,134690
2017-03-16,130370
2017-03-17,121280
2017-03-20,114770
2017-03-21,115680
2017-03-22,116660
2017-03-23,117570
2017-03-24,118560
2017-03-27,120070
2017-03-28,121440
2017-03-29,121280
2017-03-30,122800
2017-03-31,124310
2017-04-03,125910
2017-04-04,125910
2017-04-05,127040
2017-04-07,128250
2017-04-10,128100
2017-04-11,129160
